layer,feature,explanation,recall,fuzz
0,6,"Scientific and technical terms, often related to materials, medical procedures, or physical properties.",0.4,0.6
0,4,"Proper nouns, especially surnames and geographic locations, as well as nouns related to disposal and condemnation.",0.6,0.58
0,5,"Suffixes ""-oke"", ""-okes"", ""-iddles"", ""-ipers"" in various words, often related to names or nouns.",0.42,0.58
0,0,"The words ""everybody"" and ""somebody"", as well as the prefix ""ifty"" in words like ""fifty"" and ""thrifty"".",0.48,0.68
0,3,"The verb ""watch"" or its variations (""Watch"", ""watched"", ""watching"") in various contexts, often related to observing or paying attention to something.",0.49,0.65
0,10,"Verbs or nouns related to helping, supporting, or providing aid, often in a professional or formal context.",0.46,0.54
0,7,"The French prefix ""La"" or ""Mu"" in proper nouns, often indicating a location or title.",0.45,0.78
0,11,"The neuron activates on words ending in ""-style"", ""-body"", or ""-esque"", often used to describe a particular manner or aesthetic, as well as the apologetic phrase ""Sorry"".",0.39,0.75
0,9,"The neuron is activated by words related to personal preferences or perceptions, such as ""liking"", ""hearing"", or ""dislike"", often in the context of personal opinions or sensory experiences.",0.36,0.64
0,12,"The neuron activates on numerical values, particularly the number 48 and its variations (e.g., 480, 048), often in the context of measurements, quantities, or time durations.",0.46,0.83
0,14,"The neuron activates on tokens related to web pages or units of measurement (e.g., ""page"", ""pages"", ""bullets"", ""miles"").",0.51,0.61
0,18,"Proper nouns, abbreviations, and words related to science, often appearing in formal or technical contexts.",0.48,0.46
0,15,"Function words (prepositions, articles, conjunctions) and punctuation marks, often indicating a transition or connection between phrases or clauses.",0.9,0.74
0,13,"Ordinal numbers or words (e.g. ""fifth"", ""second"", ""fourth"", ""third"", ""middle"") and their variations, often indicating a position or fraction.",0.49,0.67
0,16,"Verbs or nouns related to binding, connection, or restraint, such as ""tied"", ""ties"", ""stuck"", often in a physical or metaphorical sense.",0.48,0.79
0,24,"Prefixes or roots of English words, often with a negative connotation, that convey a sense of strong emotions or moral judgments.",0.37,0.48
0,21,"The suffixes ""ES"" or ""URES"" in various words, often indicating a plural or possessive form.",0.44,0.75
0,25,"The neuron is activated by words related to failure, success, or genuineness, often in the context of evaluation or judgment.",0.5,0.92
0,26,"Non-ASCII characters, such as �, and occasionally nouns or phrases enclosed by these characters, often indicating titles, names, or emphasized text.",0.56,0.73
0,27,"Geographic locations (specifically, ""Massachusetts"") and registered trademarks (indicated by ""®"").",0.4,0.62
0,29,"The hyphen or dash symbol (-) in various contexts, including measurements, compound words, and ranges.",0.42,0.66
0,31,"Verbs and nouns related to production, construction, and manufacturing processes.",0.56,0.62
0,33,"The token ""Images"" or ""Image"" in a credit or attribution for a visual media source, often in the context of news or photography.",0.38,0.67
0,34,"Proper nouns or common nouns referring to seasons (Summer, Spring), metals (Silver), or locations (House, Sand), often in a title or descriptive context.",0.54,0.82
0,35,"Words related to a physical space or location, such as ""studio"", ""lounge"", or ""house"", often in a context of entertainment, production, or relaxation.",0.44,0.75
0,39,"Fragments of words, typically prefixes or suffixes, often indicating a sense of tidiness, closeness, or type.",0.42,0.65
0,36,"Proper nouns, especially names of people, places, and organizations, as well as nouns that refer to specific entities or concepts.",0.57,0.62
