feature,explanation,recall,fuzz,url
resid_0-3,"The organization ""Human Rights Watch"".",0.02,0.01,https://demo-7m2z.onrender.com/gpt2/resid_0-3.html
resid_0-11,"The token ""body"", often in a technical or HTML context.",0.12,0.2,https://demo-7m2z.onrender.com/gpt2/resid_0-11.html
resid_0-5,"The substring ""ipers"" in various words, often related to nouns or objects.",0.3,0.52,https://demo-7m2z.onrender.com/gpt2/resid_0-5.html
resid_0-0,"The word ""Everybody"".",0.37,0.41000000000000003,https://demo-7m2z.onrender.com/gpt2/resid_0-0.html
resid_0-6,"The adjective ""fluorescent"" or the verb ""lashed"", often describing a vivid or intense quality.",0.09,0.13,https://demo-7m2z.onrender.com/gpt2/resid_0-6.html
resid_0-9,"The word ""Heard"" or ""hearings"" in various contexts, often related to names, quotes, or official proceedings.",0.35,0.39,https://demo-7m2z.onrender.com/gpt2/resid_0-9.html
resid_0-7,"The Greek letter ""Mu"" (μ) in various proper nouns, such as names, titles, and words of Greek origin.",0.05,0.12000000000000001,https://demo-7m2z.onrender.com/gpt2/resid_0-7.html
resid_0-4,"The proper noun ""Sutherland"" (and occasionally ""Skinner""), often referring to a geographic location or a person's surname.",0.05,0.09,https://demo-7m2z.onrender.com/gpt2/resid_0-4.html
resid_0-10,"The suffixes ""-aid"", ""-assistants"", or ""-supplementation"" in nouns, often related to support or help.",0.41,0.54,https://demo-7m2z.onrender.com/gpt2/resid_0-10.html
resid_0-12,"The number ""480"" in various contexts, often related to technical specifications, resolutions, or step numbers in a process.",0.3,0.36,https://demo-7m2z.onrender.com/gpt2/resid_0-12.html
resid_0-14,"The token ""webpage"" in various contexts, likely related to online content or websites.",0.16,0.25,https://demo-7m2z.onrender.com/gpt2/resid_0-14.html
resid_0-16,"The token ""tie"" in various compound words or phrases, often related to binding, connection, or unity.",0.35,0.43000000000000005,https://demo-7m2z.onrender.com/gpt2/resid_0-16.html
resid_0-15,"The suffix ""-holder"" in nouns, often referring to individuals or groups with a vested interest or responsibility.",0.09,0.0,https://demo-7m2z.onrender.com/gpt2/resid_0-15.html
resid_0-24,"The prefix ""ruth"" or the word ""disreg"".",0.18,0.25,https://demo-7m2z.onrender.com/gpt2/resid_0-24.html
resid_0-21,"The suffix ""-URES"" in various nouns, often related to measurements, collections, or structures.",0.33999999999999997,0.41,https://demo-7m2z.onrender.com/gpt2/resid_0-21.html
resid_0-18,"The surname ""Hubbard"", often referring to a specific person, particularly L. Ron Hubbard, the founder of Scientology.",0.04,0.08,https://demo-7m2z.onrender.com/gpt2/resid_0-18.html
resid_0-13,"Ordinal numbers (e.g., ""fourth"", ""fifth"") and the suffix ""-ugal"" in words related to music, mathematics, or physics.",0.21,0.41,https://demo-7m2z.onrender.com/gpt2/resid_0-13.html
resid_0-25,"The word ""fail"" or its variations, often in the context of evaluation, assessment, or outcome.",0.22,0.32,https://demo-7m2z.onrender.com/gpt2/resid_0-25.html
resid_0-27,"The state ""Massachusetts"" in various contexts, often as part of a location or institution name.",0.39,0.6699999999999999,https://demo-7m2z.onrender.com/gpt2/resid_0-27.html
resid_0-26,"The token ""Gears"" or ""robotic"" in a context related to technology, gaming, or robotics.",0.06,0.09,https://demo-7m2z.onrender.com/gpt2/resid_0-26.html
resid_0-31,"The noun ""manufacturing"" in various industrial and technical contexts.",0.32,0.39,https://demo-7m2z.onrender.com/gpt2/resid_0-31.html
