layer,feature,recall,fuzz,combined,explanation
0,0,0.6166666666666667,0.55,0.5833333333333334,"The word ""Everybody""."
0,1,-1.0,-1.0,-1.0,Feature not cached.
0,2,-1.0,-1.0,-1.0,Feature not cached.
0,3,0.03333333333333333,0.016666666666666666,0.025,"The organization ""Human Rights Watch""."
0,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,"The proper noun ""Sutherland"" (and occasionally ""Skinner""), often referring to a geographic location or a person's surname."
0,5,0.3,0.8,0.55,"The substring ""ipers"" in various words, often related to nouns or objects."
0,6,0.15,0.15,0.15,"The adjective ""fluorescent"" or the verb ""lashed"", often describing a vivid or intense quality."
0,7,0.08333333333333333,0.13333333333333333,0.10833333333333334,"The Greek letter ""Mu"" (μ) in various proper nouns, such as names, titles, and words of Greek origin."
0,8,-1.0,-1.0,-1.0,Feature not cached.
0,9,0.5833333333333334,0.5833333333333334,0.5833333333333334,"The word ""Heard"" or ""hearings"" in various contexts, often related to names, quotes, or official proceedings."
0,10,0.6833333333333333,0.7,0.6916666666666667,"The suffixes ""-aid"", ""-assistants"", or ""-supplementation"" in nouns, often related to support or help."
0,11,0.2,0.2,0.2,"The token ""body"", often in a technical or HTML context."
0,12,0.5,0.4,0.45,"The number ""480"" in various contexts, often related to technical specifications, resolutions, or step numbers in a process."
0,13,0.35,0.6166666666666667,0.48333333333333334,"Ordinal numbers (e.g., ""fourth"", ""fifth"") and the suffix ""-ugal"" in words related to music, mathematics, or physics."
0,14,0.26666666666666666,0.35,0.30833333333333335,"The token ""webpage"" in various contexts, likely related to online content or websites."
0,15,0.15,0.0,0.075,"The suffix ""-holder"" in nouns, often referring to individuals or groups with a vested interest or responsibility."
0,16,0.5166666666666667,0.5166666666666667,0.5166666666666667,"The token ""tie"" in various compound words or phrases, often related to binding, connection, or unity."
0,17,-1.0,-1.0,-1.0,Feature not cached.
0,18,0.06666666666666667,0.06666666666666667,0.06666666666666667,"The surname ""Hubbard"", often referring to a specific person, particularly L. Ron Hubbard, the founder of Scientology."
0,19,-1.0,-1.0,-1.0,Feature not cached.
0,20,-1.0,-1.0,-1.0,Feature not cached.
0,21,0.36666666666666664,0.6166666666666667,0.4916666666666667,"The suffix ""-URES"" in various nouns, often related to measurements, collections, or structures."
0,22,-1.0,-1.0,-1.0,Feature not cached.
0,23,-1.0,-1.0,-1.0,Feature not cached.
0,24,0.23333333333333334,0.21666666666666667,0.225,"The prefix ""ruth"" or the word ""disreg""."
0,25,0.36666666666666664,0.4,0.3833333333333333,"The word ""fail"" or its variations, often in the context of evaluation, assessment, or outcome."
