layer,feature,score
0,0,0.55
0,1,-1.0
0,2,-1.0
0,3,0.016666666666666666
0,4,0.08333333333333333
0,5,0.8
0,6,0.15
0,7,0.13333333333333333
0,8,-1.0
0,9,0.5833333333333334
0,10,0.7
0,11,0.2
0,12,0.4
0,13,0.6166666666666667
0,14,0.35
0,15,0.0
0,16,0.5166666666666667
0,17,-1.0
0,18,0.06666666666666667
0,19,-1.0
0,20,-1.0
0,21,0.6166666666666667
0,22,-1.0
0,23,-1.0
0,24,0.21666666666666667
0,25,0.4
0,26,0.08333333333333333
0,27,0.7166666666666667
0,28,-1.0
0,29,0.8666666666666667
0,30,-1.0
0,31,0.5166666666666667
0,32,-1.0
0,33,0.5166666666666667
0,34,0.3
0,35,0.7333333333333333
0,36,0.1
0,37,-1.0
0,38,-1.0
0,39,0.36666666666666664
0,40,-1.0
0,41,0.21666666666666667
0,42,0.65
0,43,-1.0
0,44,-1.0
0,45,0.8333333333333334
0,46,0.05
0,47,-1.0
0,48,0.3
0,49,-1.0
2,0,0.7333333333333333
2,1,0.6166666666666667
2,2,0.7333333333333333
2,3,0.7833333333333333
2,4,0.7166666666666667
2,5,0.5833333333333334
2,6,0.8833333333333333
2,7,0.5666666666666667
2,8,-1.0
2,9,-1.0
2,10,-1.0
2,11,0.75
2,12,-1.0
2,13,0.5833333333333334
2,14,-1.0
2,15,0.8666666666666667
2,16,-1.0
2,17,-1.0
2,18,0.21666666666666667
2,19,0.7166666666666667
2,20,0.08333333333333333
2,21,0.6
2,22,0.5333333333333333
2,23,0.3333333333333333
2,24,0.6833333333333333
2,25,0.13333333333333333
2,26,0.7833333333333333
2,27,-1.0
2,28,0.5
2,29,0.75
2,30,-1.0
2,31,0.5
2,32,0.7333333333333333
2,33,-1.0
2,34,-1.0
2,35,0.31666666666666665
2,36,0.8
2,37,0.8
2,38,0.45
2,39,0.9333333333333333
2,40,0.35
2,41,0.016666666666666666
2,42,0.8
2,43,-1.0
2,44,0.75
2,45,0.48333333333333334
2,46,-1.0
2,47,0.36666666666666664
2,48,-1.0
2,49,0.4
4,0,0.6833333333333333
4,1,0.6166666666666667
4,2,0.4666666666666667
4,3,0.7166666666666667
4,4,0.8333333333333334
4,5,0.85
4,6,0.5
4,7,0.6166666666666667
4,8,0.7166666666666667
4,9,0.5666666666666667
4,10,0.85
4,11,0.5
4,12,0.65
4,13,0.36666666666666664
4,14,0.5666666666666667
4,15,0.38333333333333336
4,16,0.8
4,17,0.11666666666666667
4,18,-1.0
4,19,0.43333333333333335
4,20,0.25
4,21,0.35
4,22,0.48333333333333334
4,23,0.65
4,24,0.4
4,25,0.7833333333333333
4,26,0.6666666666666666
4,27,0.6666666666666666
4,28,0.0
4,29,0.9333333333333333
4,30,0.8166666666666667
4,31,0.55
4,32,0.6333333333333333
4,33,0.55
4,34,0.55
4,35,-1.0
4,36,0.7666666666666667
4,37,0.35
4,38,0.65
4,39,0.8166666666666667
4,40,0.35
4,41,-1.0
4,42,0.45
4,43,0.7333333333333333
4,44,0.7833333333333333
4,45,-1.0
4,46,0.85
4,47,0.8166666666666667
4,48,0.7666666666666667
4,49,0.016666666666666666
6,0,0.9166666666666666
6,1,-1.0
6,2,0.7333333333333333
6,3,0.8
6,4,0.4666666666666667
6,5,0.8333333333333334
6,6,0.6666666666666666
6,7,0.55
6,8,0.5666666666666667
6,9,0.5
6,10,0.8
6,11,0.2833333333333333
6,12,0.8166666666666667
6,13,0.6333333333333333
6,14,0.4
6,15,0.25
6,16,0.7333333333333333
6,17,0.9333333333333333
6,18,0.8
6,19,0.35
6,20,0.5666666666666667
6,21,0.25
6,22,0.65
6,23,-1.0
6,24,0.8666666666666667
6,25,-1.0
6,26,0.4166666666666667
6,27,0.6833333333333333
6,28,0.5833333333333334
6,29,0.3333333333333333
6,30,0.7833333333333333
6,31,0.9333333333333333
6,32,0.8166666666666667
6,33,-1.0
6,34,0.6333333333333333
6,35,-1.0
6,36,0.7666666666666667
6,37,0.38333333333333336
6,38,-1.0
6,39,0.7833333333333333
6,40,0.65
6,41,0.6333333333333333
6,42,0.65
6,43,0.8333333333333334
6,44,0.2833333333333333
6,45,0.36666666666666664
6,46,0.06666666666666667
6,47,-1.0
6,48,0.4666666666666667
6,49,0.18333333333333332
8,0,-1.0
8,1,-1.0
8,2,0.65
8,3,0.7
8,4,0.6833333333333333
8,5,0.18333333333333332
8,6,0.35
8,7,0.6
8,8,-1.0
8,9,0.13333333333333333
8,10,0.7666666666666667
8,11,0.65
8,12,0.45
8,13,0.7
8,14,0.8666666666666667
8,15,-1.0
8,16,0.8166666666666667
8,17,0.7
8,18,0.5833333333333334
8,19,0.4666666666666667
8,20,0.11666666666666667
8,21,0.6166666666666667
8,22,-1.0
8,23,0.75
8,24,0.7166666666666667
8,25,0.7833333333333333
8,26,0.8
8,27,0.6666666666666666
8,28,0.35
8,29,0.85
8,30,0.48333333333333334
8,31,0.4666666666666667
8,32,0.8333333333333334
8,33,0.6166666666666667
8,34,0.5
8,35,0.45
8,36,0.6
8,37,0.7333333333333333
8,38,-1.0
8,39,0.7
8,40,-1.0
8,41,0.55
8,42,-1.0
8,43,-1.0
8,44,0.6833333333333333
8,45,0.6166666666666667
8,46,-1.0
8,47,0.7
8,48,0.7166666666666667
8,49,0.11666666666666667
10,0,0.45
10,1,0.21666666666666667
10,2,0.3333333333333333
10,3,-1.0
10,4,0.8166666666666667
10,5,0.16666666666666666
10,6,0.8166666666666667
10,7,0.7833333333333333
10,8,0.5666666666666667
10,9,0.5833333333333334
10,10,0.65
10,11,0.4666666666666667
10,12,0.4
10,13,0.7333333333333333
10,14,0.6666666666666666
10,15,-1.0
10,16,-1.0
10,17,0.43333333333333335
10,18,0.48333333333333334
10,19,0.45
10,20,0.16666666666666666
10,21,0.2833333333333333
10,22,-1.0
10,23,0.8
10,24,0.6166666666666667
10,25,-1.0
10,26,0.6833333333333333
10,27,-1.0
10,28,0.6333333333333333
10,29,-1.0
10,30,0.7
10,31,0.6666666666666666
10,32,-1.0
10,33,0.6833333333333333
10,34,0.8
10,35,0.5333333333333333
10,36,0.8166666666666667
10,37,0.7
10,38,0.4666666666666667
10,39,0.55
10,40,-1.0
10,41,0.5333333333333333
10,42,0.8666666666666667
10,43,-1.0
10,44,0.8166666666666667
10,45,0.8166666666666667
10,46,0.7
10,47,0.6666666666666666
10,48,0.55
10,49,0.8
